degreeFrom|publicationAuthor|name,degreeFrom.s=publicationAuthor.o|publicationAuthor.s=name.s,||name.o=Publication0,265630
name|type|advisor|publicationAuthor,name.s=type.s|name.s=advisor.o|advisor.s=publicationAuthor.o,|||,2533772
name|type|advisor|publicationAuthor,name.s=type.s|name.s=advisor.o|advisor.s=publicationAuthor.o,name.o=AssociateProfessor0|||publicationAuthor.s=http://www.Department6.University16.edu/AssociateProfessor9/Publication12,8
member|memberOf|type|name,member.s=memberOf.o|member.s=type.s|member.s=name.s,|||,1273797968
member|memberOf|type|name,member.s=memberOf.o|member.s=type.s|member.s=name.s,||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|,636898984
emailAddress|type|publicationAuthor|takesCourse,emailAddress.s=type.s|type.s=publicationAuthor.o|publicationAuthor.o=takesCourse.s,|||,4822836
emailAddress|type|publicationAuthor|takesCourse,emailAddress.s=type.s|type.s=publicationAuthor.o|publicationAuthor.o=takesCourse.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant||,281654
name,,name.s=http://www.Department0.University77.edu/UndergraduateStudent457,1
type|name|takesCourse|emailAddress|memberOf,type.s=name.s|name.s=takesCourse.s|name.s=emailAddress.s|name.s=memberOf.s,||||,6699472
type|memberOf|member|takesCourse|telephone,type.s=memberOf.o|memberOf.s=member.o|memberOf.s=takesCourse.s|memberOf.s=telephone.s,||||,5789498
type|memberOf|member|takesCourse|telephone,type.s=memberOf.o|memberOf.s=member.o|memberOf.s=takesCourse.s|memberOf.s=telephone.s,||member.s=http://www.Department12.University79.edu|takesCourse.o=http://www.Department12.University79.edu/Course35|,38
publicationAuthor|takesCourse|type|undergraduateDegreeFrom|member,publicationAuthor.o=takesCourse.s|publicationAuthor.s=type.s|publicationAuthor.o=undergraduateDegreeFrom.s|takesCourse.s=member.o,||||,1268874
publicationAuthor|takesCourse|type|undergraduateDegreeFrom|member,publicationAuthor.o=takesCourse.s|publicationAuthor.s=type.s|publicationAuthor.o=undergraduateDegreeFrom.s|takesCourse.s=member.o,||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|undergraduateDegreeFrom.o=http://www.University785.edu|,1233
name|member|hasAlumnus,name.s=member.s|member.o=hasAlumnus.o,||hasAlumnus.s=http://www.University682.edu,509
publicationAuthor|emailAddress|memberOf|takesCourse,publicationAuthor.o=emailAddress.s|emailAddress.s=memberOf.s|emailAddress.s=takesCourse.s,|||,1268874
publicationAuthor|emailAddress|memberOf|takesCourse,publicationAuthor.o=emailAddress.s|emailAddress.s=memberOf.s|emailAddress.s=takesCourse.s,|emailAddress.o=GraduateStudent73@Department22.University65.edu||takesCourse.o=http://www.Department22.University65.edu/GraduateCourse8,5
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,1442184
name|member,name.s=member.s,name.o=Department11|member.o=http://www.Department11.University3.edu/UndergraduateStudent418,1
type|takesCourse|member|hasAlumnus|telephone,type.s=takesCourse.s|type.s=member.o|type.s=hasAlumnus.o|takesCourse.s=telephone.s,||||,1921070
type|takesCourse|member|hasAlumnus|telephone,type.s=takesCourse.s|type.s=member.o|type.s=hasAlumnus.o|takesCourse.s=telephone.s,|takesCourse.o=http://www.Department18.University9.edu/GraduateCourse23|member.s=http://www.Department18.University9.edu||,22
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department3.University20.edu/Course11|telephone.o=xxx-xxx-xxxx,24
takesCourse|telephone,takesCourse.s=telephone.s,takesCourse.o=http://www.Department5.University32.edu/Course10|telephone.o=xxx-xxx-xxxx,28
name|type|subOrganizationOf|member,name.s=type.s|name.s=subOrganizationOf.o|subOrganizationOf.s=member.s,|||,2241668
name|type|subOrganizationOf|member,name.s=type.s|name.s=subOrganizationOf.o|subOrganizationOf.s=member.s,name.o=University96|||member.o=http://www.Department13.University96.edu/UndergraduateStudent177,2
type|name|publicationAuthor|teacherOf,type.s=name.s|type.s=publicationAuthor.o|name.s=teacherOf.s,|||,9622630
type|name|publicationAuthor|teacherOf,type.s=name.s|type.s=publicationAuthor.o|name.s=teacherOf.s,|||teacherOf.o=http://www.Department13.University46.edu/Course11,80
takesCourse,,takesCourse.s=http://www.Department6.University67.edu/UndergraduateStudent192,3
takesCourse|type|name,takesCourse.s=type.s|takesCourse.s=name.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,2389201
takesCourse|type|emailAddress|memberOf,takesCourse.s=type.s|type.s=emailAddress.s|type.s=memberOf.s,|||,6699472
takesCourse|type|emailAddress|memberOf,takesCourse.s=type.s|type.s=emailAddress.s|type.s=memberOf.s,||emailAddress.o=UndergraduateStudent89@Department2.University9.edu|,6
memberOf|name|emailAddress|type|takesCourse,memberOf.o=name.s|memberOf.s=emailAddress.s|memberOf.o=type.s|memberOf.s=takesCourse.s,||||,5789498
memberOf|name|emailAddress|type|takesCourse,memberOf.o=name.s|memberOf.s=emailAddress.s|memberOf.o=type.s|memberOf.s=takesCourse.s,||emailAddress.o=UndergraduateStudent341@Department8.University14.edu||,6
telephone|emailAddress|type|undergraduateDegreeFrom|member,telephone.s=emailAddress.s|emailAddress.s=type.s|emailAddress.s=undergraduateDegreeFrom.s|emailAddress.s=member.o,||||,1236708
telephone|emailAddress|type|undergraduateDegreeFrom|member,telephone.s=emailAddress.s|emailAddress.s=type.s|emailAddress.s=undergraduateDegreeFrom.s|emailAddress.s=member.o,telephone.o=xxx-xxx-xxxx||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent||,252562
type|memberOf|name,type.s=memberOf.o|type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|memberOf.s=http://www.Department22.University11.edu/UndergraduateStudent328|,1
member|advisor,member.o=advisor.o,member.s=http://www.Department0.University39.edu|advisor.s=http://www.Department0.University39.edu/UndergraduateStudent141,1
undergraduateDegreeFrom|publicationAuthor|takesCourse|degreeFrom,undergraduateDegreeFrom.s=publicationAuthor.o|undergraduateDegreeFrom.s=takesCourse.s|undergraduateDegreeFrom.s=degreeFrom.s,|||,1268874
undergraduateDegreeFrom|publicationAuthor|takesCourse|degreeFrom,undergraduateDegreeFrom.s=publicationAuthor.o|undergraduateDegreeFrom.s=takesCourse.s|undergraduateDegreeFrom.s=degreeFrom.s,||takesCourse.o=http://www.Department2.University28.edu/GraduateCourse13|,12
takesCourse|name|type,takesCourse.o=name.s|takesCourse.o=type.s,|name.o=Course28|,89664
emailAddress|type|memberOf,emailAddress.s=type.s|type.s=memberOf.s,||memberOf.o=http://www.Department3.University12.edu,1577
member|undergraduateDegreeFrom|type,member.o=undergraduateDegreeFrom.s|member.s=type.s,|undergraduateDegreeFrom.o=http://www.University166.edu|,638
takesCourse|advisor|publicationAuthor|type|name,takesCourse.s=advisor.s|advisor.s=publicationAuthor.o|publicationAuthor.s=type.s|type.s=name.s,||||,1268874
takesCourse|advisor|publicationAuthor|type|name,takesCourse.s=advisor.s|advisor.s=publicationAuthor.o|publicationAuthor.s=type.s|type.s=name.s,|advisor.o=http://www.Department2.University58.edu/AssociateProfessor2|||,23
member|type,member.s=type.s,member.o=http://www.Department16.University92.edu/GraduateStudent107|,2
publicationAuthor|telephone,publicationAuthor.o=telephone.s,publicationAuthor.s=http://www.Department7.University47.edu/AssociateProfessor2/Publication3|,5
name,,name.s=http://www.Department14.University91.edu/AssociateProfessor10/Publication4,1
type|telephone|name,type.s=telephone.s|type.s=name.s,||name.o=UndergraduateStudent76,4014
takesCourse|name|type|memberOf|emailAddress,takesCourse.s=name.s|name.s=type.s|type.s=memberOf.s|takesCourse.s=emailAddress.s,||||,6699472
takesCourse|name|type|memberOf|emailAddress,takesCourse.s=name.s|name.s=type.s|type.s=memberOf.s|takesCourse.s=emailAddress.s,||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent||emailAddress.o=UndergraduateStudent106@Department8.University76.edu,4
takesCourse,,takesCourse.o=http://www.Department4.University35.edu/Course3,25
degreeFrom,,degreeFrom.o=http://www.University400.edu,461
takesCourse|name|member,takesCourse.s=name.s|takesCourse.s=member.o,||member.s=http://www.Department12.University40.edu,1559
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
type|undergraduateDegreeFrom|publicationAuthor|name|takesCourse,type.s=undergraduateDegreeFrom.s|undergraduateDegreeFrom.s=publicationAuthor.o|publicationAuthor.s=name.s|type.s=takesCourse.s,||||,4822836
type|undergraduateDegreeFrom|publicationAuthor|name|takesCourse,type.s=undergraduateDegreeFrom.s|undergraduateDegreeFrom.s=publicationAuthor.o|publicationAuthor.s=name.s|type.s=takesCourse.s,||||takesCourse.o=http://www.Department11.University38.edu/GraduateCourse14,53
name,,name.s=http://www.Department11.University93.edu/AssistantProfessor7,1
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
publicationAuthor,,publicationAuthor.o=http://www.Department0.University64.edu/GraduateStudent45,4
takesCourse|member|publicationAuthor|name|worksFor,takesCourse.s=member.o|member.o=publicationAuthor.o|takesCourse.s=name.s|member.s=worksFor.o,||||,45892447
takesCourse|member|publicationAuthor|name|worksFor,takesCourse.s=member.o|member.o=publicationAuthor.o|takesCourse.s=name.s|member.s=worksFor.o,||publicationAuthor.s=http://www.Department0.University67.edu/AssistantProfessor1/Publication6||,108
type|memberOf|takesCourse|publicationAuthor,type.s=memberOf.s|type.s=takesCourse.s|memberOf.s=publicationAuthor.o,|||,4822836
takesCourse|type|teacherOf|name,takesCourse.o=type.s|type.s=teacherOf.o|type.s=name.s,|||,6295046
takesCourse|type|teacherOf|name,takesCourse.o=type.s|type.s=teacherOf.o|type.s=name.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course||,2894749
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,|takesCourse.o=http://www.Department3.University11.edu/GraduateCourse47,16
name|type|degreeFrom,name.s=type.s|type.s=degreeFrom.o,name.o=University92|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|,494
type|member|telephone,type.s=member.o|type.s=telephone.s,|member.s=http://www.Department18.University36.edu|telephone.o=xxx-xxx-xxxx,1232
member|memberOf|takesCourse|name,member.s=memberOf.o|member.o=takesCourse.s|member.o=name.s,|||,1648148690
member|memberOf|takesCourse|name,member.s=memberOf.o|member.o=takesCourse.s|member.o=name.s,|memberOf.s=http://www.Department14.University52.edu/UndergraduateStudent309||,1488
type|takesCourse|advisor|memberOf|name,type.s=takesCourse.o|takesCourse.s=advisor.s|advisor.o=memberOf.s|memberOf.s=name.s,||||,2471284
type|takesCourse|advisor|memberOf|name,type.s=takesCourse.o|takesCourse.s=advisor.s|advisor.o=memberOf.s|memberOf.s=name.s,||||name.o=AssociateProfessor0,70593
researchInterest|name|member|type,researchInterest.s=name.s|researchInterest.s=member.o|member.o=type.s,|||,241072
researchInterest|name|member|type,researchInterest.s=name.s|researchInterest.s=member.o|member.o=type.s,researchInterest.o=Research14||member.s=http://www.Department14.University17.edu|,12
member|name|undergraduateDegreeFrom|type|takesCourse,member.s=name.s|member.o=undergraduateDegreeFrom.s|name.s=type.s|undergraduateDegreeFrom.s=takesCourse.s,||||,1011096
member|name|undergraduateDegreeFrom|type|takesCourse,member.s=name.s|member.o=undergraduateDegreeFrom.s|name.s=type.s|undergraduateDegreeFrom.s=takesCourse.s,|name.o=Department9||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|,25194
type|member,type.s=member.s,|member.o=http://www.Department1.University3.edu/UndergraduateStudent108,2
memberOf,,memberOf.s=http://www.Department0.University47.edu/GraduateStudent55,1
takesCourse|telephone|name,takesCourse.s=telephone.s|takesCourse.s=name.s,takesCourse.o=http://www.Department6.University11.edu/GraduateCourse41||,5
