name,,name.s=http://www.Department2.University49.edu/UndergraduateStudent355,1
memberOf,,memberOf.o=http://www.Department7.University58.edu,700
advisor,,advisor.o=http://www.Department7.University0.edu/AssociateProfessor3,12
name,,name.o=UndergraduateStudent149,2007
type,,type.s=http://www.Department7.University83.edu/UndergraduateStudent245,2
degreeFrom,,degreeFrom.s=http://www.Department2.University29.edu/AssociateProfessor10,3
takesCourse,,takesCourse.s=http://www.Department11.University71.edu/GraduateStudent38,3
publicationAuthor,,publicationAuthor.s=http://www.Department10.University99.edu/AssociateProfessor3/Publication12,2
name,,name.s=http://www.Department5.University95.edu/GraduateStudent25,1
type,,type.s=http://www.Department8.University43.edu/UndergraduateStudent20,2
publicationAuthor,,publicationAuthor.o=http://www.Department0.University80.edu/GraduateStudent1,4
takesCourse,,takesCourse.o=http://www.Department7.University30.edu/Course37,23
member,,member.s=http://www.Department15.University85.edu,485
takesCourse,,takesCourse.o=http://www.Department9.University77.edu/Course7,19
takesCourse,,takesCourse.o=http://www.Department13.University95.edu/Course26,18
takesCourse,,takesCourse.o=http://www.Department6.University0.edu/Course13,21
name,,name.s=http://www.Department17.University9.edu/AssociateProfessor6,1
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
name,,name.o=Course37,2007
publicationAuthor,,publicationAuthor.o=http://www.Department0.University59.edu/GraduateStudent100,4
undergraduateDegreeFrom,,undergraduateDegreeFrom.o=http://www.University812.edu,334
publicationAuthor,,publicationAuthor.s=http://www.Department3.University86.edu/FullProfessor1/Publication9,2
publicationAuthor,,publicationAuthor.o=http://www.Department7.University38.edu/GraduateStudent77,1
takesCourse,,takesCourse.o=http://www.Department15.University98.edu/Course45,33
takesCourse,,takesCourse.s=http://www.Department12.University95.edu/UndergraduateStudent75,4
takesCourse,,takesCourse.s=http://www.Department18.University6.edu/GraduateStudent96,3
takesCourse,,takesCourse.s=http://www.Department6.University61.edu/UndergraduateStudent288,2
memberOf,,memberOf.o=http://www.Department8.University40.edu,526
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,217148
member,,member.s=http://www.Department3.University45.edu,618
emailAddress,,emailAddress.o=UndergraduateStudent204@Department13.University33.edu,1
telephone,,telephone.s=http://www.Department19.University4.edu/UndergraduateStudent245,1
memberOf,,memberOf.o=http://www.Department9.University86.edu,617
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
name,,name.s=http://www.Department2.University79.edu/Course14,1
name,,name.s=http://www.Department1.University97.edu/UndergraduateStudent122,1
takesCourse,,takesCourse.o=http://www.Department7.University60.edu/GraduateCourse4,5
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,217148
degreeFrom,,degreeFrom.s=http://www.Department11.University87.edu/GraduateStudent75,1
takesCourse,,takesCourse.s=http://www.Department0.University96.edu/UndergraduateStudent12,2
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,217148
memberOf,,memberOf.s=http://www.Department6.University49.edu/UndergraduateStudent391,1
takesCourse,,takesCourse.o=http://www.Department14.University34.edu/Course17,28
takesCourse,,takesCourse.s=http://www.Department17.University45.edu/UndergraduateStudent292,4
undergraduateDegreeFrom,,undergraduateDegreeFrom.o=http://www.University305.edu,331
publicationAuthor,,publicationAuthor.s=http://www.Department4.University51.edu/AssociateProfessor4/Publication8,4
member,,member.s=http://www.Department6.University51.edu,657
undergraduateDegreeFrom,,undergraduateDegreeFrom.s=http://www.Department17.University12.edu/FullProfessor0,1
emailAddress,,emailAddress.s=http://www.Department13.University3.edu/GraduateStudent50,1
publicationAuthor,,publicationAuthor.s=http://www.Department12.University33.edu/FullProfessor2/Publication17,2
takesCourse,,takesCourse.s=http://www.Department9.University68.edu/UndergraduateStudent180,4
publicationAuthor,,publicationAuthor.o=http://www.Department7.University60.edu/GraduateStudent40,2
memberOf,,memberOf.s=http://www.Department5.University69.edu/UndergraduateStudent29,1
teacherOf,,teacherOf.o=http://www.Department2.University86.edu/GraduateCourse25,1
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,808741
type,,type.s=http://www.Department19.University85.edu/UndergraduateStudent106,2
takesCourse,,takesCourse.o=http://www.Department17.University60.edu/Course17,32
takesCourse,,takesCourse.o=http://www.Department8.University10.edu/GraduateCourse21,10
type,,type.s=http://www.Department12.University28.edu/FullProfessor6/Publication15,1
memberOf,,memberOf.o=http://www.Department8.University52.edu,465
telephone,,telephone.s=http://www.Department13.University27.edu/GraduateStudent102,1
name,,name.o=Publication3,64343
advisor,,advisor.o=http://www.Department21.University33.edu/FullProfessor3,11
takesCourse,,takesCourse.o=http://www.Department22.University6.edu/Course1,26
takesCourse,,takesCourse.o=http://www.Department19.University17.edu/Course9,36
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,795970
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,217148
takesCourse,,takesCourse.o=http://www.Department0.University94.edu/Course14,28
name,,name.s=http://www.Department14.University81.edu/FullProfessor4/Publication7,1
member,,member.s=http://www.Department4.University42.edu,603
telephone,,telephone.o=xxx-xxx-xxxx,1120834
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
advisor,,advisor.o=http://www.Department2.University63.edu/AssociateProfessor4,4
undergraduateDegreeFrom,,undergraduateDegreeFrom.s=http://www.Department7.University92.edu/GraduateStudent116,1
takesCourse,,takesCourse.o=http://www.Department14.University98.edu/GraduateCourse33,2
type,,type.s=http://www.Department18.University59.edu/Lecturer5,3
member,,member.o=http://www.Department14.University76.edu/UndergraduateStudent63,1
emailAddress,,emailAddress.s=http://www.Department15.University13.edu/UndergraduateStudent140,1
member,,member.s=http://www.Department18.University9.edu,448
emailAddress,,emailAddress.o=UndergraduateStudent315@Department2.University34.edu,1
name,,name.o=Publication10,38372
publicationAuthor,,publicationAuthor.s=http://www.Department16.University1.edu/AssociateProfessor1/Publication9,3
type,,type.s=http://www.Department3.University5.edu/UndergraduateStudent262,2
name,,name.s=http://www.Department11.University77.edu/GraduateStudent110,1
publicationAuthor,,publicationAuthor.o=http://www.Department12.University94.edu/GraduateStudent12,2
takesCourse,,takesCourse.s=http://www.Department12.University37.edu/UndergraduateStudent493,4
type,,type.s=http://www.Department8.University23.edu/UndergraduateStudent153,2
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,217148
takesCourse,,takesCourse.o=http://www.Department17.University90.edu/Course56,17
member,,member.s=http://www.Department15.University48.edu,512
telephone,,telephone.s=http://www.Department5.University65.edu/UndergraduateStudent99,1
takesCourse,,takesCourse.s=http://www.Department10.University12.edu/UndergraduateStudent364,2
telephone,,telephone.o=xxx-xxx-xxxx,1120834
takesCourse,,takesCourse.s=http://www.Department12.University66.edu/UndergraduateStudent170,4
takesCourse,,takesCourse.o=http://www.Department12.University29.edu/GraduateCourse42,6
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,808741
degreeFrom,,degreeFrom.s=http://www.Department8.University54.edu/GraduateStudent34,1
type,,type.s=http://www.Department5.University42.edu/FullProfessor6/Publication6,1
name,,name.o=UndergraduateStudent151,2007
takesCourse,,takesCourse.o=http://www.Department23.University85.edu/Course35,21
subOrganizationOf,,subOrganizationOf.s=http://www.Department4.University8.edu/ResearchGroup7,2
degreeFrom,,degreeFrom.s=http://www.Department9.University63.edu/GraduateStudent34,1
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,252562
teachingAssistantOf,,teachingAssistantOf.s=http://www.Department5.University23.edu/GraduateStudent77,1
publicationAuthor,,publicationAuthor.o=http://www.Department10.University23.edu/GraduateStudent100,4
memberOf,,memberOf.o=http://www.Department3.University18.edu,684
name,,name.s=http://www.Department17.University10.edu/FullProfessor2/Publication9,1
publicationAuthor,,publicationAuthor.o=http://www.Department12.University64.edu/GraduateStudent46,5
degreeFrom,,degreeFrom.o=http://www.University478.edu,458
member,,member.s=http://www.Department8.University77.edu,462
name,,name.o=UndergraduateStudent52,2007
name,,name.o=Publication6,53918
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
telephone,,telephone.s=http://www.Department20.University4.edu/GraduateStudent76,1
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,795970
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,808741
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty,72302
type,,type.s=http://www.Department13.University40.edu/GraduateStudent4,3
member,,member.s=http://www.Department0.University76.edu,572
emailAddress,,emailAddress.s=http://www.Department19.University80.edu/UndergraduateStudent326,1
member,,member.o=http://www.Department14.University79.edu/UndergraduateStudent341,1
memberOf,,memberOf.o=http://www.Department11.University2.edu,613
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor,60268
telephone,,telephone.s=http://www.Department13.University23.edu/AssistantProfessor1,1
type,,type.s=http://www.Department5.University18.edu/GraduateStudent70,3
researchInterest,,researchInterest.o=Research18,2028
type,,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
