undergraduateDegreeFrom|telephone,undergraduateDegreeFrom.s=telephone.s,undergraduateDegreeFrom.o=http://www.University369.edu|,324
name|emailAddress,name.s=emailAddress.s,name.o=UndergraduateStudent192|emailAddress.o=UndergraduateStudent192@Department16.University45.edu,1
name|degreeFrom,name.s=degreeFrom.s,name.o=GraduateStudent64|,2007
type|undergraduateDegreeFrom,type.s=undergraduateDegreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|undergraduateDegreeFrom.o=http://www.University318.edu,257
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department17.University92.edu/UndergraduateStudent60|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent471@Department3.University42.edu|takesCourse.o=http://www.Department3.University42.edu/Course22,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department2.University14.edu/Course9,42
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department16.University24.edu/UndergraduateStudent263|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department16.University48.edu/UndergraduateStudent100|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,2
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|telephone.o=xxx-xxx-xxxx,252562
teacherOf|type,teacherOf.o=type.s,teacherOf.s=http://www.Department4.University98.edu/AssociateProfessor1|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,4
takesCourse|name,takesCourse.s=name.s,|name.o=UndergraduateStudent299,5570
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent274@Department6.University42.edu|takesCourse.o=http://www.Department6.University42.edu/Course6,1
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department22.University26.edu/Course49|name.o=UndergraduateStudent277,1
telephone|name,telephone.s=name.s,telephone.o=xxx-xxx-xxxx|name.o=UndergraduateStudent233,2007
degreeFrom|advisor,degreeFrom.s=advisor.o,degreeFrom.o=http://www.University768.edu|,1240
memberOf|degreeFrom,memberOf.s=degreeFrom.s,memberOf.o=http://www.Department1.University32.edu|degreeFrom.o=http://www.University761.edu,1
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department5.University21.edu|,1256
name|memberOf,name.s=memberOf.o,|memberOf.s=http://www.Department19.University40.edu/GraduateStudent51,1
emailAddress|publicationAuthor,emailAddress.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department4.University49.edu/AssistantProfessor6/Publication0,3
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department0.University55.edu|,1616
takesCourse|memberOf,takesCourse.s=memberOf.s,|memberOf.o=http://www.Department16.University60.edu,1315
degreeFrom|takesCourse,degreeFrom.s=takesCourse.s,degreeFrom.o=http://www.University813.edu|takesCourse.o=http://www.Department14.University53.edu/GraduateCourse1,1
type|advisor,type.s=advisor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|,411501
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|name.o=GraduateStudent71,2007
name|mastersDegreeFrom,name.s=mastersDegreeFrom.o,name.o=University34|mastersDegreeFrom.s=http://www.Department6.University46.edu/AssociateProfessor9,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department18.University66.edu/UndergraduateStudent248,3
hasAlumnus|takesCourse,hasAlumnus.o=takesCourse.s,hasAlumnus.s=http://www.University472.edu|takesCourse.o=http://www.Department20.University94.edu/GraduateCourse41,1
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
advisor|takesCourse,advisor.s=takesCourse.s,|takesCourse.o=http://www.Department9.University78.edu/Course36,6
type|hasAlumnus,type.s=hasAlumnus.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|hasAlumnus.o=http://www.Department6.University66.edu/GraduateStudent54,1
