type|advisor|memberOf,type.s=advisor.s|type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student||memberOf.o=http://www.Department3.University86.edu,79
memberOf|publicationAuthor|takesCourse,memberOf.s=publicationAuthor.o|memberOf.s=takesCourse.s,|publicationAuthor.s=http://www.Department13.University25.edu/AssociateProfessor7/Publication16|takesCourse.o=http://www.Department13.University25.edu/GraduateCourse0,1
type|member|emailAddress,type.s=member.o|type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent||,795970
takesCourse|telephone|name,takesCourse.s=telephone.s|takesCourse.o=name.s,||name.o=GraduateCourse36,9446
member|takesCourse|type,member.o=takesCourse.s|takesCourse.s=type.s,member.s=http://www.Department15.University96.edu|takesCourse.o=http://www.Department15.University96.edu/GraduateCourse18|,8
type|memberOf|name,type.s=memberOf.o|memberOf.o=name.s,|memberOf.s=http://www.Department1.University6.edu/UndergraduateStudent73|name.o=Department1,2
emailAddress|name|type,emailAddress.s=name.s|name.s=type.s,emailAddress.o=UndergraduateStudent70@Department13.University33.edu||,2
name|emailAddress|member,name.s=emailAddress.s|name.s=member.o,|emailAddress.o=UndergraduateStudent126@Department15.University68.edu|,1
hasAlumnus|member|type,hasAlumnus.o=member.o|hasAlumnus.s=type.s,|member.s=http://www.Department3.University88.edu|,478
type|memberOf|telephone,type.s=memberOf.s|memberOf.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|memberOf.o=http://www.Department1.University78.edu|,39
type|takesCourse|name,type.s=takesCourse.o|takesCourse.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course||name.o=UndergraduateStudent235,5999
publicationAuthor|advisor|type,publicationAuthor.o=advisor.s|advisor.s=type.s,publicationAuthor.s=http://www.Department4.University32.edu/AssociateProfessor9/Publication3||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,2
name|emailAddress|takesCourse,name.s=emailAddress.s|emailAddress.s=takesCourse.s,name.o=UndergraduateStudent386||,3230
memberOf|member|telephone,memberOf.o=member.s|memberOf.s=telephone.s,||,636898984
memberOf|member|telephone,memberOf.o=member.s|memberOf.s=telephone.s,|member.o=http://www.Department10.University25.edu/UndergraduateStudent371|telephone.o=xxx-xxx-xxxx,541
type|advisor|hasAlumnus,type.s=advisor.o|advisor.o=hasAlumnus.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|advisor.s=http://www.Department6.University47.edu/GraduateStudent39|,3
takesCourse|name|hasAlumnus,takesCourse.s=name.s|name.s=hasAlumnus.o,||hasAlumnus.s=http://www.University498.edu,504
type|hasAlumnus|degreeFrom,type.s=hasAlumnus.o|hasAlumnus.s=degreeFrom.o,||,841874077
type|hasAlumnus|degreeFrom,type.s=hasAlumnus.o|hasAlumnus.s=degreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent||degreeFrom.s=http://www.Department10.University65.edu/AssociateProfessor3,789
memberOf|telephone|publicationAuthor,memberOf.s=telephone.s|telephone.s=publicationAuthor.o,memberOf.o=http://www.Department13.University51.edu||,783
publicationAuthor|name|mastersDegreeFrom,publicationAuthor.o=name.s|name.s=mastersDegreeFrom.s,publicationAuthor.s=http://www.Department1.University33.edu/FullProfessor3/Publication7||,1
takesCourse|name|type,takesCourse.o=name.s|name.s=type.s,||type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,2894749
